Restaurant_Info_ID,Restaurant_Name,Rating,Review_Count,Price,Restaurant_Address,Restaurant_City,Zip_Code,Latitude,Longitude,Categories,Inspection_Info_ID,Inspection_date,Score,Grade,Population_Density_per_sq_mi,Median_Household_Income,Median_Home_Value,Employment_Rate,Total_Population,Total_Employer_Establishments
8654,Café at the End of the Universe,2.5,78,$$,2800 E Observatory Ave,Los Angeles,90027,34.11835912054953,-118.30083618220516,"New American, Cafes",7646,2025-01-28,90.0,A,5473.0,78356,793200.0,92.05,44678,1744
8654,Café at the End of the Universe,2.5,78,$$,2800 E Observatory Ave,Los Angeles,90027,34.11835912054953,-118.30083618220516,"New American, Cafes",7948,2025-01-28,90.0,A,5473.0,78356,793200.0,92.05,44678,1744
8658,The Deli at Little Dom's,3.7,74,$$,2128 Hillhurst Ave,Los Angeles,90027,34.11092,-118.28721,"Delis, Breakfast & Brunch, Sandwiches",2069,2025-01-29,96.0,A,5473.0,78356,793200.0,92.05,44678,1744
8663,Civico 2064,4.3,103,$$,2064 Hillhurst Ave,Los Angeles,90027,34.109409,-118.287141,"Vegan, Calabrian, Wine Bars",4836,2024-12-06,94.0,A,5473.0,78356,793200.0,92.05,44678,1744
8665,Part Time,3.3,3,$$,2044 Hillhurst Ave,Los Angeles,90027,34.108975,-118.287175,"Desserts, American",3268,2024-09-23,94.0,A,5473.0,78356,793200.0,92.05,44678,1744
8665,Part Time,3.3,3,$$,2044 Hillhurst Ave,Los Angeles,90027,34.108975,-118.287175,"Desserts, American",3641,2024-09-23,94.0,A,5473.0,78356,793200.0,92.05,44678,1744
8669,Zoo Grill,3.5,22,$$,5333 Zoo Dr,Los Angeles,90027,34.1485227574025,-118.286406951863,"Fast Food, American",7452,2025-02-03,96.0,A,5473.0,78356,793200.0,92.05,44678,1744
8669,Zoo Grill,3.5,22,$$,5333 Zoo Dr,Los Angeles,90027,34.1485227574025,-118.286406951863,"Fast Food, American",7643,2025-02-03,96.0,A,5473.0,78356,793200.0,92.05,44678,1744
8671,Mahale Cafe,3.2,23,$$,5333 Zoo Dr,Los Angeles,90027,34.148514968275336,-118.28405624691013,"Burgers, Salad, Sandwiches",3848,2025-02-03,99.0,A,5473.0,78356,793200.0,92.05,44678,1744
8673,Costco Food Court,2.8,14,$,2901 Los Feliz Blvd,Los Angeles,90039,34.128331884108945,-118.26378917945144,Food Court,7456,2024-08-02,97.0,A,7709.0,99226,600000.0,93.15,28839,1192
8673,Costco Food Court,2.8,14,$,2901 Los Feliz Blvd,Los Angeles,90039,34.128331884108945,-118.26378917945144,Food Court,7724,2024-08-02,97.0,A,7709.0,99226,600000.0,93.15,28839,1192
8673,Costco Food Court,2.8,14,$,2901 Los Feliz Blvd,Los Angeles,90039,34.128331884108945,-118.26378917945144,Food Court,7962,2024-08-02,97.0,A,7709.0,99226,600000.0,93.15,28839,1192
8676,Everytable,3.8,17,$$,1915 Hillhurst Ave,Los Angeles,90027,34.1058924401919,-118.2877559,"Salad, Fast Food, Sandwiches",80,2024-08-12,99.0,A,5473.0,78356,793200.0,92.05,44678,1744
8690,Chi Dynasty,3.6,671,$$,1813 Hillhurst Ave,Los Angeles,90027,34.1042011,-118.2879041,"Chinese, Bars",1432,2024-12-13,94.0,A,5473.0,78356,793200.0,92.05,44678,1744
8696,Tub Tim Siam,4.0,218,$$,1806 1/2 Hillhurst Ave,Los Angeles,90027,34.1039262,-118.28721,Thai,2209,2024-08-12,96.0,A,5473.0,78356,793200.0,92.05,44678,1744
8697,Gelson's,3.3,292,$$,2725 Hyperion Ave,Silver Lake,90027,34.107969,-118.272695,"Grocery, Delis",5457,2024-08-19,98.0,A,5473.0,78356,793200.0,92.05,44678,1744
8702,Baracoa Cuban Cafe,3.8,474,$$,3175 Glendale Blvd,Los Angeles,90039,34.11764,-118.26177,Cuban,3446,2025-01-06,94.0,A,7709.0,99226,600000.0,93.15,28839,1192
8705,Indochine Vien,3.7,418,$$,3110 Glendale Blvd,Los Angeles,90039,34.1163625,-118.2622691,Vietnamese,2125,2024-07-30,97.0,A,7709.0,99226,600000.0,93.15,28839,1192
